[0526/170143.666:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0527/170448.643:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0528/170731.548:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0529/171254.361:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0530/171546.422:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0531/171845.053:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0601/172137.318:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0601/232707.513:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0602/233151.569:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0603/233650.190:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0604/011137.614:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0605/011625.355:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0611/001743.369:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0612/002047.400:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0617/003838.489:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
